,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1071,CHEMBL199244,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCCCC4)cc3Cl)cc2O1,Active,458.98200000000026,6.403900000000006,1.0,4.0,5.236572006437063
1072,CHEMBL197848,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OCC4CC4)cc3Cl)cc2O1,Active,446.9270000000002,5.145000000000005,1.0,5.0,4.823908740944319
1073,CHEMBL426105,CC(C)Oc1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1,Active,434.91600000000017,5.143400000000004,1.0,5.0,4.823908740944319
1074,CHEMBL198623,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(C4CCC5(CC4)CC5)cc3Cl)cc2O1,Active,485.0200000000004,6.794000000000007,1.0,4.0,5.346787486224656
1075,CHEMBL372091,C[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(Oc4ccc(F)cc4)cc3Cl)cc2O1,Active,486.9230000000002,6.287600000000005,1.0,5.0,6.045757490560675
1076,CHEMBL198493,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(Oc4ccc(F)cc4)cc3Cl)cc2O1,Active,500.9500000000001,6.677700000000006,1.0,5.0,6.585026652029182
1077,CHEMBL197823,CCC(C)(C)c1ccc(OCCCOc2ccc3c(c2)O[C@@](C)(C(=O)O)CC3)c(Cl)c1,Active,446.97100000000023,6.043800000000006,1.0,4.0,4.823908740944319
1078,CHEMBL198365,O=C(O)C1CCc2ccc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)cc2O1,Active,460.83200000000016,4.907200000000004,1.0,5.0,5.3872161432802645
1079,CHEMBL321815,CC1(C)CCC(c2ccc(OCCCOc3ccc4c(c3)O[C@@](C)(C(=O)O)CC4)c(Cl)c2)CC1,Intermediate,487.0360000000003,7.040000000000007,1.0,4.0,5.1938200260161125
1080,CHEMBL118887,COc1ccc2c(c1)c(Cc1cccc(C(=O)O)c1)c(C)n2C(=O)c1ccc(Cl)cc1,Active,433.8910000000002,5.589220000000004,1.0,4.0,6.681936665037238
1081,CHEMBL121206,COc1ccc2c(c1)c(Cc1ccc(C(=O)O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,Intermediate,433.8910000000002,5.5892200000000045,1.0,4.0,5.328827157284917
