molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL374189,CCn1c(C(=O)NS(=O)(=O)c2cccc(C(F)(F)F)c2)cc2ccccc21,Active,2440.0
CHEMBL221580,O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)c1cc2ccccc2n1C(=O)c1cccc(C(F)(F)F)c1,Active,9400.0
CHEMBL217962,O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)c1cc2ccccc2n1Cc1cccc(OC(F)(F)F)c1,Active,90.0
CHEMBL218258,COc1cccc(Cn2c(C(=O)NS(=O)(=O)c3cccc(C(F)(F)F)c3)cc3ccccc32)c1,Active,140.0
CHEMBL267881,O=C(NS(=O)(=O)c1ccc(C(F)(F)F)cc1)c1cc2ccccc2n1Cc1ccc(C(F)(F)F)cc1,Active,700.0
CHEMBL218231,CS(=O)(=O)NC(=O)c1cc2ccccc2n1Cc1cccc(C(F)(F)F)c1,Active,680.0
CHEMBL981,O=C(NS(=O)(=O)c1ccc(Cl)s1)c1cc2ccccc2n1Cc1cccc(C(F)(F)F)c1,Inactive,80.0
CHEMBL121,O=C(NS(=O)(=O)c1ccccc1C(F)(F)F)c1cc2ccccc2n1Cc1cccc(C(F)(F)F)c1,Active,80.0
CHEMBL107367,O=C(NS(=O)(=O)c1ccc2ccccc2c1)c1cc2ccccc2n1Cc1cccc(C(F)(F)F)c1,Active,90.0
CHEMBL408,Cc1ccccc1S(=O)(=O)NC(=O)c1cc2ccccc2n1Cc1cccc(C(F)(F)F)c1,Intermediate,180.0
CHEMBL220622,Cc1ccc(S(=O)(=O)NC(=O)c2cc3ccccc3n2Cc2cccc(C(F)(F)F)c2)cc1,Active,290.0
CHEMBL387373,O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)c1cc2ccccc2n1Cc1cccc(C(F)(F)F)c1,Active,80.0
CHEMBL446365,O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1cc2ccccc2n1Cc1cccc(C(F)(F)F)c1,Active,280.0
CHEMBL223434,O=C(NS(=O)(=O)c1ccc(F)cc1)c1cc2ccccc2n1Cc1cccc(C(F)(F)F)c1,Active,720.0
CHEMBL219836,O=C(NS(=O)(=O)c1ccccc1)c1cc2ccccc2n1Cc1cccc(C(F)(F)F)c1,Active,290.0
CHEMBL376460,COc1ccc(-c2c(C(=O)NS(C)(=O)=O)n(Cc3cccc(C(F)(F)F)c3)c3ccccc23)cc1,Active,2.0
CHEMBL441554,COc1ccc(-c2c(C(=O)NS(=O)(=O)c3ccccc3C)n(Cc3cccc(C(F)(F)F)c3)c3ccccc23)cc1,Active,7.0
CHEMBL223351,COC(=O)c1ccccc1S(=O)(=O)NC(=O)c1c(-c2ccc(OC)cc2)c2ccccc2n1Cc1cccc(C(F)(F)F)c1,Active,1.0
CHEMBL374344,COc1ccc(-c2c(C(=O)NS(=O)(=O)c3cccc(C(F)(F)F)c3)n(Cc3cccc(C(F)(F)F)c3)c3ccccc23)cc1,Active,60.0
CHEMBL223350,COc1ccc(-c2c(C(=O)NS(=O)(=O)c3ccc(F)cc3)n(Cc3cccc(C(F)(F)F)c3)c3ccccc23)cc1,Active,7.0
CHEMBL223128,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Active,10000.0
CHEMBL373685,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Active,48.0
CHEMBL220622,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,Active,25.0
CHEMBL219824,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,Active,1285.0
CHEMBL219773,Cc1oc(-c2ccc(-c3ccccc3)cc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)OC(C)C)c1,Active,47.0
CHEMBL223349,Cc1oc(-c2ccc(-c3ccccc3)cc2)nc1CCOc1ccc(CCC(=O)O)c2c1CCN(C(=O)OCC(C)(C)C)C2,Active,33.0
CHEMBL223379,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CCC(=O)O)c2c1CCN(C(=O)OCC(C)C)C2,Active,17.0
